SerialNumber,ModelName,ProductLine,Weight,WeightClass,SellDate,ReceiveDate,InventoryDays,Cost,Revenue,Profit,ProfitMargin,ROI,RevenueQuartile,StoreID,StoreName,State,City,SaleLocation,Usage
JX59I4D4ND,SY335,SY,335,Large,2023-05-21,2022-09-03,260.0,456.0,597.0,141.0,23.618090452261306,30.92105263157895,Q1,2,Summit Machinery,NV,Washoe,"Washoe, NV",Education
5KAE5L05Q1,SCA35,SCA,35,Small,2023-05-15,2022-09-03,254.0,783.0,933.0,150.0,16.077170418006432,19.157088122605366,Q3,4,Everest Heavy Duty,CA,Monterey,"Monterey, CA",Home
HWN1KSDTCE,TH75,TH,75,Medium,2023-06-02,2022-09-04,271.0,326.0,520.0,194.0,37.30769230769231,59.50920245398773,Q1,3,Pioneer Industrial,TN,Knox,"Knox, TN",Other
05ECW8JZJ2,TH335,TH,335,Large,2023-05-26,2022-09-04,264.0,902.0,1065.0,163.0,15.305164319248826,18.070953436807095,Q3,2,Summit Machinery,NY,Bronx,"Bronx, NY",General
Y5F9QFC8ND,SY50,SY,50,Medium,2023-05-05,2022-09-04,243.0,251.0,325.0,74.0,22.76923076923077,29.482071713147413,Q1,1,Atlas Equipment,NY,Queens,"Queens, NY",General
KNZM3RQGSJ,SY75,SY,75,Medium,2023-05-19,2022-09-04,257.0,794.0,1281.0,487.0,38.01717408274785,61.33501259445844,Q4,1,Atlas Equipment,NY,Kings,"Kings, NY",Rental
I6UZVJI3NV,TH16,TH,16,Small,2023-05-29,2022-09-05,266.0,251.0,325.0,74.0,22.76923076923077,29.482071713147413,Q1,1,Atlas Equipment,CA,San Francisco,"San Francisco, CA",Civil
8TU8ASELTJ,SCA500,SCA,500,Large,2023-07-11,2022-09-06,308.0,956.0,1328.0,372.0,28.012048192771083,38.912133891213394,Q4,4,Everest Heavy Duty,CT,Hartford,"Hartford, CT",Education
YCGDEEK9GT,SCA235,SCA,235,Large,2023-07-18,2022-09-07,314.0,674.0,1018.0,344.0,33.79174852652259,51.038575667655785,Q3,3,Pioneer Industrial,UT,Salt Lake,"Salt Lake, UT",Home
XTC60CFHNO,TH235,TH,235,Large,2023-05-09,2022-09-07,244.0,656.0,842.0,186.0,22.090261282660332,28.353658536585364,Q2,3,Pioneer Industrial,CA,Santa Barbara,"Santa Barbara, CA",Home
0S9RGKKPMN,SY235,SY,235,Large,2023-06-18,2022-09-07,284.0,322.0,426.0,104.0,24.413145539906104,32.298136645962735,Q1,1,Atlas Equipment,NC,Mecklenburg,"Mecklenburg, NC",Education
LW5COGSF2B,SY35,SY,35,Small,2023-07-03,2022-09-08,298.0,802.0,1180.0,378.0,32.03389830508475,47.13216957605985,Q3,4,Everest Heavy Duty,AZ,Mohave,"Mohave, AZ",General
LBQBG8O4WY,SY335,SY,335,Large,2023-06-21,2022-09-08,286.0,820.0,1109.0,289.0,26.0595130748422,35.24390243902439,Q3,4,Everest Heavy Duty,MO,Jackson,"Jackson, MO",Rental
V7LM4IG14J,SY16,SY,16,Small,2023-06-25,2022-09-08,290.0,604.0,816.0,212.0,25.98039215686275,35.099337748344375,Q2,1,Atlas Equipment,WI,La Crosse,"La Crosse, WI",Transportation
KTRRMMP5LB,SY500,SY,500,Large,2023-06-17,2022-09-08,282.0,820.0,1107.0,287.0,25.925925925925924,35.0,Q3,1,Atlas Equipment,VA,Fairfax,"Fairfax, VA",Construction
RWLZ9QYSDM,SY16,SY,16,Small,2023-05-13,2022-09-08,247.0,802.0,1227.0,425.0,34.63732681336593,52.9925187032419,Q4,1,Atlas Equipment,LA,Orleans,"Orleans, LA",General
V4Z3QQ6918,SY75,SY,75,Medium,2023-05-27,2022-09-10,259.0,467.0,536.0,69.0,12.87313432835821,14.775160599571734,Q1,1,Atlas Equipment,IL,Cook,"Cook, IL",General
UQ79EDAKQQ,SY155,SY,155,Large,2023-06-10,2022-09-10,273.0,502.0,663.0,161.0,24.283559577677224,32.07171314741036,Q2,2,Summit Machinery,CA,San Diego,"San Diego, CA",Home
34V4BV984J,SY50,SY,50,Medium,2023-06-03,2022-09-11,265.0,956.0,1238.0,282.0,22.778675282714055,29.497907949790797,Q4,2,Summit Machinery,MI,Wayne,"Wayne, MI",Home
5LGRS5IEKM,SY155,SY,155,Large,2023-07-28,2022-09-11,320.0,429.0,584.0,155.0,26.541095890410958,36.13053613053613,Q1,1,Atlas Equipment,CO,Arapahoe,"Arapahoe, CO",Home
8SADQFSH90,SY35,SY,35,Small,2023-07-23,2022-09-12,314.0,794.0,1161.0,367.0,31.61068044788975,46.221662468513856,Q3,3,Pioneer Industrial,NJ,Middlesex,"Middlesex, NJ",Transportation
G194QAI38U,SY35,SY,35,Small,2023-06-10,2022-09-12,271.0,794.0,1304.0,510.0,39.11042944785276,64.23173803526448,Q4,1,Atlas Equipment,MO,St. Louis,"St. Louis, MO",Education
MJG4V5SAY9,TH135,TH,135,Medium,2023-07-25,2022-09-12,316.0,604.0,1069.0,465.0,43.49859681945743,76.98675496688742,Q3,1,Atlas Equipment,PA,Philadelphia,"Philadelphia, PA",General
VWS4Y69870,SY155,SY,155,Large,2023-07-05,2022-09-12,296.0,467.0,651.0,184.0,28.264208909370197,39.400428265524624,Q2,2,Summit Machinery,NE,Douglas,"Douglas, NE",General
2Q26J2MPNG,SY50,SY,50,Medium,2023-07-27,2022-09-13,317.0,822.0,1080.0,258.0,23.88888888888889,31.386861313868614,Q3,2,Summit Machinery,TX,Bexar,"Bexar, TX",Education
SUV838V22I,SY155,SY,155,Large,2023-06-21,2022-09-13,281.0,794.0,1280.0,486.0,37.96875,61.20906801007556,Q4,4,Everest Heavy Duty,NJ,Union,"Union, NJ",Home
5UXA7BNV4Q,SY35,SY,35,Small,2023-06-29,2022-09-13,289.0,956.0,1321.0,365.0,27.630582891748674,38.17991631799163,Q4,1,Atlas Equipment,SC,Charleston,"Charleston, SC",Rental
S9L19A14WC,SY75,SY,75,Medium,2023-06-29,2022-09-14,288.0,358.0,485.0,127.0,26.18556701030928,35.47486033519553,Q1,2,Summit Machinery,NV,Washoe,"Washoe, NV",Other
ZA8UQKS333,TH50,TH,50,Medium,2023-05-30,2022-09-14,258.0,656.0,899.0,243.0,27.030033370411566,37.042682926829265,Q3,2,Summit Machinery,NH,Hillsborough,"Hillsborough, NH",Health
1918ODKBWE,SCA335,SCA,335,Large,2023-07-11,2022-09-14,300.0,674.0,752.0,78.0,10.372340425531915,11.572700296735905,Q2,1,Atlas Equipment,OH,Franklin,"Franklin, OH",General
KRN0PGUDCQ,SY135,SY,135,Medium,2023-07-07,2022-09-14,296.0,608.0,837.0,229.0,27.35961768219833,37.66447368421053,Q2,3,Pioneer Industrial,KS,Johnson,"Johnson, KS",Health
RAD52OOUQ2,SY50,SY,50,Medium,2023-06-25,2022-09-14,284.0,358.0,496.0,138.0,27.82258064516129,38.547486033519554,Q1,1,Atlas Equipment,CT,Hartford,"Hartford, CT",Civil
JD8SV4CIIF,SCA235,SCA,235,Large,2023-05-29,2022-09-15,256.0,802.0,1326.0,524.0,39.51734539969834,65.33665835411472,Q4,1,Atlas Equipment,CO,Arapahoe,"Arapahoe, CO",Civil
OYKACWZDO4,SY335,SY,335,Large,2023-05-26,2022-09-15,253.0,608.0,790.0,182.0,23.037974683544306,29.93421052631579,Q2,4,Everest Heavy Duty,NJ,Hudson,"Hudson, NJ",Transportation
U388WX7ICM,SY35,SY,35,Small,2023-06-22,2022-09-15,280.0,820.0,1091.0,271.0,24.839596700274978,33.048780487804876,Q3,4,Everest Heavy Duty,OH,Hamilton,"Hamilton, OH",Other
V4J07PM0U6,SCA335,SCA,335,Large,2023-05-11,2022-09-15,238.0,456.0,597.0,141.0,23.618090452261306,30.92105263157895,Q1,4,Everest Heavy Duty,WI,La Crosse,"La Crosse, WI",Construction
87CK8Q5WYY,SCA50,SCA,50,Medium,2023-06-22,2022-09-16,279.0,467.0,590.0,123.0,20.847457627118644,26.33832976445396,Q1,1,Atlas Equipment,TX,Bexar,"Bexar, TX",General
RWB8E08IH9,SY335,SY,335,Large,2023-06-11,2022-09-16,268.0,822.0,1075.0,253.0,23.53488372093023,30.77858880778589,Q3,1,Atlas Equipment,SC,Charleston,"Charleston, SC",Home
9AD0GVMEPO,TH235,TH,235,Large,2023-06-09,2022-09-16,266.0,956.0,1234.0,278.0,22.52836304700162,29.079497907949794,Q4,3,Pioneer Industrial,OH,Cuyahoga,"Cuyahoga, OH",Civil
